CATEGORY,DISH,PRICE,CURRENT_IMAGE,IMAGE_STATUS,ACTION,NOTES
"Pâtes","Pâtes BIZZ'Art",27.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes Bolognaise",21.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_02","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes l'Arrabiata",18.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060780/bizzart/menu/DDBA87","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes du Chef",29,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060757/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes Maison",26,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060780/bizzart/menu/DDBA87","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes à L'italienne",32.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060780/bizzart/menu/DDBA87","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes Fruits de Mer",32,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060765/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Pâtes","Ravioli Saumon",32,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Pâtes","Ravioli Crevette",30,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9EC","OK","KEEP","Image Cloudinary existante"
"Pâtes","Ravioli Viande",26,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060776/bizzart/menu/CE03FC","OK","KEEP","Image Cloudinary existante"
"Pâtes","Pâtes sauce pesto",29,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Pâtes","Lasagne Bolognaise",21.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060762/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Pâtes","Lasagne Fruits De Mer",32,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_97","OK","KEEP","Image Cloudinary existante"
"Plats Espagnol","Paella 1 Personne",34,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060795/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Plats Espagnol","Paella Royale",63.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060776/bizzart/menu/CE03FC","OK","KEEP","Image Cloudinary existante"
"Plats Espagnol","Risotto Bizz'Art",32,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060796/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Plats Espagnol","Risotto Poulet-Champignons",28,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060799/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Plats Espagnol","Gratin Poulet",23,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060803/bizzart/menu/FD0F85","OK","KEEP","Image Cloudinary existante"
"Plats Espagnol","Gratin Fruits de Mer",29.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9EC","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Margherita",14.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060778/bizzart/menu/D2ACAC","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Thon",16.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza 4 Fromages sauce tomate",18,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060756/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza 4 Fromages sauce blanche",18.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060763/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Reine",18,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060810/bizzart/menu/IMG_97","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Piquante",18,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_02","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Chicken",19,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Napolitaine",17,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060789/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pepperoni",16.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060804/bizzart/menu/IMG_02","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","4 Saisons",17.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060788/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Bizz'art",20.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060767/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Anglaise",19,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza BURRATA",22.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060791/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Fruit de mer",28.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_96","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Saumon",26,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060756/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Végétarienne",20,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060768/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Les Pizzas","Pizza Chevrettes",20,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060753/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Salade","Salade César",15.8,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060783/bizzart/menu/EB2F2B","OK","KEEP","Image Cloudinary existante"
"Salade","Salade Bizz'Art",20.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060783/bizzart/menu/EB2F2B","OK","KEEP","Image Cloudinary existante"
"Salade","Salade du Chef",24.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060783/bizzart/menu/EB2F2B","OK","KEEP","Image Cloudinary existante"
"Salade","Salade Fruits de Mer",28,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060792/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Salade","Salade de Crevettes Panées",22,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060762/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Salade","Salade Saumon",24,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060755/bizzart/menu/r07qxo","OK","KEEP","Image Cloudinary existante"
"Salade","Salade Roquette",12.8,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060800/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope Ou Cuisse de Poulet",18,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060771/bizzart/menu/A7D9EC","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope Panée",19.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060798/bizzart/menu/FB_IMG","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope à la crème",20.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060807/bizzart/menu/IMG_96","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope sauce Champignon",21.5,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060785/bizzart/menu/F04A3E","OK","KEEP","Image Cloudinary existante"
"Volailles","Escalope sauce Épinard",21,"https://res.cloudinary.com/gmpztbom/image/upload/v1787060811/bizzart/menu/IMG_97","OK","KEEP","Image Cloudinary existante"
