Collection,IndexName,Keys,Unique,QueriesFound,RedundantWith,ESR_OrderCorrect,FinalDecision,Confidence,Reasoning
reservations,date_1_status_1,"date:1, status:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
reservations,customer.email_1,"customer.email:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
reservations,status_1_createdAt_-1,"status:1, createdAt:-1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
reservations,date_1_time_1,"date:1, time:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
reservations,reminderSent_1_date_1_status_1,"reminderSent:1, date:1, status:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
menuitems,slug_1,"slug:1",YES,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
menuitems,category_1_isAvailable_1_order_1,"category:1, isAvailable:1, order:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
menuitems,isFeatured_1_isAvailable_1,"isFeatured:1, isAvailable:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
menuitems,tags_1,"tags:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
reviews,isPublished_1_isApproved_1_order_1,"isPublished:1, isApproved:1, order:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
reviews,source_1,"source:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
reviews,rating_1,"rating:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
reviews,reviewDate_-1,"reviewDate:-1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
menucategories,slug_1,"slug:1",YES,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
menucategories,isActive_1_order_1,"isActive:1, order:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
settings,updatedAt_-1,"updatedAt:-1",NO,1,"",YES,REVIEW_REQUIRED,LOW,"Collection settings est singleton - vérifier si index nécessaire"
users,email_1,"email:1",YES,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
users,role_1,"role:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
users,isActive_1,"isActive:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
media,category_1_isVisible_1_order_1,"category:1, isVisible:1, order:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
media,type_1_category_1,"type:1, category:1",NO,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
media,isVisible_1_order_1,"isVisible:1, order:1",NO,2,"",YES,CREATE_SAFE,HIGH,"2 requête(s) trouvée(s), aucune redondance détectée"
media,publicId_1,"publicId:1",YES,1,"",YES,CREATE_SAFE,HIGH,"1 requête(s) trouvée(s), aucune redondance détectée"
