Collection,IndexName,Keys,Unique,DeclaredInModel,PresentLocal,PresentAtlas,IsLegacy,Decision,Reasoning
reservations,date_1_status_1,"date:1, status:1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
reservations,customer.email_1,"customer.email:1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
reservations,date_1_status_1,"date:1, status:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reservations,customer.email_1,"customer.email:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reservations,status_1_createdAt_-1,"status:1, createdAt:-1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reservations,date_1_time_1,"date:1, time:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reservations,reminderSent_1_date_1_status_1,"reminderSent:1, date:1, status:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
menuitems,slug_1,"slug:1",YES,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
menuitems,tags_1,"tags:1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
menuitems,slug_1,"slug:1",YES,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
menuitems,category_1_isAvailable_1_order_1,"category:1, isAvailable:1, order:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
menuitems,isFeatured_1_isAvailable_1,"isFeatured:1, isAvailable:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
menuitems,tags_1,"tags:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reviews,source_1,"source:1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
reviews,rating_1,"rating:1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
reviews,reviewDate_-1,"reviewDate:-1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
reviews,isPublished_1_isApproved_1_order_1,"isPublished:1, isApproved:1, order:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reviews,source_1,"source:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reviews,rating_1,"rating:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
reviews,reviewDate_-1,"reviewDate:-1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
menucategories,slug_1,"slug:1",YES,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
menucategories,slug_1,"slug:1",YES,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
menucategories,isActive_1_order_1,"isActive:1, order:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
settings,updatedAt_-1,"updatedAt:-1",NO,NO,YES,NO,YES,EXCLUDED,"Removed from model - singleton collection does not need this index"
users,email_1,"email:1",YES,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
users,role_1,"role:1",NO,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
users,email_1,"email:1",YES,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
users,role_1,"role:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
users,isActive_1,"isActive:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
media,publicId_1,"publicId:1",YES,YES,YES,NO,NO,CREATE_SAFE,"Declared in model, missing on Atlas"
media,category_1_isVisible_1_order_1,"category:1, isVisible:1, order:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
media,type_1_category_1,"type:1, category:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
media,isVisible_1_order_1,"isVisible:1, order:1",NO,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
media,publicId_1,"publicId:1",YES,NO,YES,NO,YES,REVIEW_REQUIRED,"Legacy LOCAL-only index not declared in current model"
